pid,time_elapsed,trial_type,rt,payoff_matrix,cost,click_cost,choice_index,clicks,payoff_value,probabilities,net_payoff,payoff_index,click_times,answers,correct,block,trial_index
13,81655,mouselab,2373.0,"[[-130, -193, -59, 52, -31, 68], [21, -80, 189, 49, 45, -101], [-7, -78, 29, -19, -15, -22], [87, -81, 172, 176, 49, 101]]",2,0,1,[],-81,"[0.2, 0.2, 0.1, 0.5]",-81,3,[],,,instruct1,1
13,88897,mouselab,2195.0,"[[-130, -193, -59, 52, -31, 68], [21, -80, 189, 49, 45, -101], [-7, -78, 29, -19, -15, -22], [87, -81, 172, 176, 49, 101]]",2,0,2,[],29,"[0.2, 0.2, 0.1, 0.5]",29,2,[],,,instruct1,2
13,336609,mouselab,29687.0,"[[68, -120, 96, -51, 1, 35], [-3, 92, 166, 3, -258, 154], [-104, -26, 24, -7, -24, -10], [2, 26, 58, -35, -10, -18]]",2,0,2,[],96,"[0.26, 0.21, 0.23, 0.3]",96,0,[],,,instruct2,0
13,341918,mouselab,3937.0,"[[23, 120, -38, 100, 51, 13], [-34, 97, 40, -78, 60, -24], [1, 61, 42, -155, -94, 2], [-17, 70, -97, -27, 46, 20]]",2,0,3,[],-27,"[0.26, 0.22, 0.23, 0.29]",-27,3,[],,,instruct2,1
13,345676,mouselab,1509.0,"[[-15, 69, 40, 18, 96, -94], [-41, 2, 61, 8, 82, -26], [-61, -92, 99, 105, 141, 89], [-93, -9, -81, -106, 31, 14]]",2,0,1,[],69,"[0.44, 0.11, 0.23, 0.22]",69,0,[],,,instruct2,2
13,431770,mouselab,80450.0,"[[-136, 94, 11, -16, 59, -93], [-83, -122, 50, 61, 70, -135], [13, 121, 36, 109, -13, 38], [-66, -11, -53, 17, -12, 5]]",2,48,0,"[17, 11, 5, 23, 22, 16, 4, 10, 3, 9, 15, 21, 20, 14, 8, 2, 1, 7, 13, 19, 18, 12, 6, 0]",-136,"[0.31, 0.2, 0.28, 0.21]",-184,0,"[48632, 51057, 51960, 52791, 65126, 66323, 67843, 68485, 70121, 70745, 71242, 71655, 72206, 72705, 73081, 73691, 74737, 75132, 75479, 75829, 76216, 76579, 76921, 77251]",,,instruct3,0
13,435046,mouselab,1256.0,"[[-12, 137, -73, 1, 92, 32], [2, -34, 82, 16, 17, -57], [-5, -80, -32, 99, -28, -22], [155, -40, -35, -60, 17, 110]]",2,0,5,[],32,"[0.31, 0.12, 0.26, 0.31]",32,0,[],,,instruct3,1
13,436934,mouselab,807.0,"[[-111, 33, -54, 52, 104, 41], [-11, -170, -14, -41, -19, -114], [33, -82, -107, 7, 82, -63], [33, 87, -37, 29, 45, -18]]",2,0,4,[],104,"[0.31, 0.2, 0.29, 0.2]",104,0,[],,,instruct3,2
13,504553,mouselab,57057.0,"[[46, 119, -36, -13, 14, -51], [-145, 68, -21, -42, 45, 146], [-26, -26, -57, -42, -13, -78], [8, -6, -91, 52, 71, 6]]",2,14,3,"[0, 5, 18, 15, 16, 11, 9]",-13,"[0.19, 0.41, 0.18, 0.22]",-27,0,"[1902, 2616, 3444, 4956, 6358, 8088, 56204]",,,test,0
13,507966,mouselab,899.0,"[[-108, -43, -62, 7, 51, 21], [122, 43, -44, -94, -36, 1], [67, 147, -91, -23, 20, 66], [-71, 4, -91, 1, -54, 100]]",2,0,1,[],4,"[0.18000000000000002, 0.25, 0.38, 0.19]",4,3,[],,,test,1
13,510902,mouselab,710.0,"[[-23, -52, 13, 120, 50, 111], [-59, 6, 73, 31, 48, -118], [-45, 37, -55, -32, -111, 36], [-73, 72, -73, -19, 63, 57]]",2,0,3,[],-32,"[0.3, 0.19, 0.18, 0.33]",-32,2,[],,,test,2
