pid,time_elapsed,trial_type,probabilities,click_cost,payoff_value,payoff_matrix,choice_index,payoff_index,cost,clicks,net_payoff,block,trial_index
9,207510,mouselab,"[0.87, 0, 0.03, 0.1]",12,19,"[[25, 90, -95, -80, -111, 19], [-137, -119, 131, 63, -70, 43], [-218, -2, 137, 158, 38, -108], [151, -50, -104, 14, 16, -57]]",5,0,1,"[0, 6, 19, 13, 2, 8, 3, 9, 4, 10, 5, 11]",7,test,7
9,213435,mouselab,"[0.38, 0.28, 0.33, 0.01]",7,79,"[[79, -54, -108, 105, 113, -227], [90, 147, 106, -8, -251, -14], [115, 102, 30, 133, -53, -165], [-56, 137, -73, -44, -51, 6]]",0,0,1,"[2, 8, 1, 7, 0, 6, 12]",72,test,8
9,236751,mouselab,"[0.13, 0.48, 0.37, 0.02]",13,14,"[[111, 53, -34, -24, 40, 58], [75, -60, -84, 64, 138, 39], [14, -17, -162, -28, 293, 0], [42, -27, 111, 54, 26, 54]]",0,2,1,"[0, 6, 1, 7, 2, 8, 3, 9, 4, 10, 5, 11, 12]",1,test,9
1,146175,mouselab,"[0.2, 0.2, 0.1, 0.5]",0,126,"[[126, 40, 31, -20, 93, -33], [203, -64, -35, 15, 72, 122], [145, 9, 168, 159, 42, -69], [-2, 4, 139, -65, -101, -29]]",0,0,1,[],126,instruct1,0
1,176463,mouselab,"[0.2, 0.2, 0.1, 0.5]",0,40,"[[126, 40, 31, -20, 93, -33], [203, -64, -35, 15, 72, 122], [145, 9, 168, 159, 42, -69], [-2, 4, 139, -65, -101, -29]]",1,0,1,[],40,instruct1,1
1,201471,mouselab,"[0.2, 0.2, 0.1, 0.5]",0,139,"[[126, 40, 31, -20, 93, -33], [203, -64, -35, 15, 72, 122], [145, 9, 168, 159, 42, -69], [-2, 4, 139, -65, -101, -29]]",2,3,1,[],139,instruct1,2
1,226331,mouselab,"[0.47, 0.33, 0.09, 0.11]",0,176,"[[144, 69, 154, -174, 51, 66], [-43, 30, 183, 28, -66, 168], [13, 166, 181, -129, 32, 24], [-96, 167, 176, 134, 82, 27]]",2,3,1,[],176,instruct2,0
1,239516,mouselab,"[0.06, 0.08, 0.06, 0.8]",0,114,"[[-119, -29, -166, 115, 108, -8], [-246, -32, 88, 102, 51, -80], [145, 184, 159, 195, -78, 121], [-41, -186, 109, 114, 28, 6]]",3,3,1,[],114,instruct2,1
1,254618,mouselab,"[0.81, 0.12, 0.01, 0.06]",0,95,"[[6, -27, 95, -60, 89, -187], [-1, 38, 141, -20, 10, -36], [13, -60, 219, 10, 205, 106], [-27, 132, 140, 41, -22, -42]]",2,0,1,[],95,instruct2,2
1,262628,mouselab,"[0.12, 0.01, 0.14, 0.73]",0,115,"[[24, 211, 26, 28, 53, 77], [-150, 115, 103, -27, -52, -142], [-1, 88, 34, -56, 75, 51], [101, 115, -35, -128, -171, -87]]",1,3,1,[],115,instruct2,3
1,270940,mouselab,"[0.07999999999999999, 0.11, 0.4, 0.41]",0,131,"[[-35, 82, 55, 97, -190, 7], [29, 65, -67, 120, 110, 20], [-141, -10, 116, 131, 36, -101], [95, 34, -48, 150, 137, 75]]",3,2,1,[],131,instruct2,4
1,326297,mouselab,"[0.08000000000000002, 0.22, 0.5, 0.2]",2,147,"[[59, -76, 17, 173, 129, -3], [38, -117, 62, -109, -63, 53], [-29, 4, 21, -109, 88, -137], [-49, 86, -27, 84, 147, -182]]",4,3,1,"[18, 22]",145,instruct3,0
1,347587,mouselab,"[0.11, 0.01, 0.46, 0.42]",4,142,"[[-19, -10, 8, 76, -129, 15], [-54, 129, -102, 31, 98, -51], [-35, 35, -52, 142, -34, 92], [169, -218, 196, 38, 9, 42]]",3,2,1,"[0, 15, 3, 9]",138,instruct3,1
1,383593,mouselab,"[0.27, 0.06, 0.3, 0.37]",6,-97,"[[90, 100, 75, 31, 163, -110], [-110, -61, 8, 120, 66, -10], [49, 50, 96, -9, -97, 37], [119, 293, 48, -37, -18, -174]]",4,2,1,"[6, 7, 8, 9, 10, 15]",-103,instruct3,2
1,416182,mouselab,"[0.44, 0.06, 0.01, 0.49]",12,68,"[[-146, 149, 128, -15, -45, 68], [47, -50, -83, -194, -75, 75], [7, 246, 31, 53, -63, 159], [-91, -5, -185, 216, 15, 3]]",5,0,1,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 6]",56,test,0
