pid,rt,time_elapsed,trial_type,click_cost,payoff_index,probabilities,payoff_value,net_payoff,clicks,payoff_matrix,click_times,cost,choice_index,block,trial_index
10,2529.0,272003,mouselab,0,2,"[0.04, 0.01, 0.4, 0.55]",-30,-30,[],"[[-3, -50, 25, -11, 50, -58], [51, -19, 93, 15, -27, -19], [-30, -53, -146, -106, -87, 89], [99, 54, -6, -54, -31, 8]]",[],8,0,test,3
10,1073.0,274756,mouselab,0,2,"[0.18, 0.27, 0.49, 0.06]",-28,-28,[],"[[-88, -129, 59, 44, 141, 73], [57, -36, 0, -184, -58, 115], [-71, 75, 65, -85, 75, -28], [-96, 154, 2, 119, 6, 25]]",[],8,5,test,4
10,1206.0,278226,mouselab,0,1,"[0.72, 0.05, 0.09, 0.14]",-177,-177,[],"[[-68, -48, 127, 101, -11, 21], [40, -18, -177, 60, 24, 52], [43, -9, -133, 97, -118, 56], [1, 14, 28, -118, 105, 18]]",[],8,2,test,5
10,1504.0,283443,mouselab,0,0,"[0.11, 0.74, 0.14, 0.01]",168,168,[],"[[168, -49, 128, -56, -15, -53], [138, -186, 88, -39, -132, -62], [15, -31, 89, -41, 18, -44], [-4, 64, -129, -18, 169, -83]]",[],8,0,test,6
10,1113.0,287332,mouselab,0,1,"[0.13999999999999999, 0.71, 0.03, 0.12]",19,19,[],"[[175, -87, -43, 109, 3, -81], [-9, 32, 19, 42, -187, 113], [-13, -20, 7, -23, 51, 130], [-29, 79, -55, -76, 10, 23]]",[],8,2,test,7
10,944.0,291284,mouselab,0,3,"[0.12, 0.1, 0.01, 0.77]",-9,-9,[],"[[-77, -23, 60, -69, -156, 25], [-44, 23, -92, -95, -112, 42], [-76, 53, -2, 70, 40, 68], [-90, 32, -148, 57, -23, -9]]",[],8,5,test,8
10,1226.0,295045,mouselab,0,0,"[0.82, 0.01, 0.04, 0.13]",-2,-2,[],"[[-20, -133, 9, -2, 32, -23], [11, 132, -35, -16, 48, 5], [-79, 119, 147, -62, 3, 18], [-99, 5, 84, 67, -14, 71]]",[],8,3,test,9
11,14945.0,20750,mouselab,0,3,"[0.2, 0.2, 0.1, 0.5]",30,30,[],"[[-15, 10, 27, -110, -172, -138], [-89, 290, -74, -52, 34, -17], [-150, -82, 70, 274, -22, 107], [235, 30, -276, -77, -17, 42]]",[],0,1,instruct1,0
11,3852.0,26558,mouselab,0,3,"[0.2, 0.2, 0.1, 0.5]",30,30,[],"[[-15, 10, 27, -110, -172, -138], [-89, 290, -74, -52, 34, -17], [-150, -82, 70, 274, -22, 107], [235, 30, -276, -77, -17, 42]]",[],0,1,instruct1,1
11,1664.0,29514,mouselab,0,3,"[0.2, 0.2, 0.1, 0.5]",30,30,[],"[[-15, 10, 27, -110, -172, -138], [-89, 290, -74, -52, 34, -17], [-150, -82, 70, 274, -22, 107], [235, 30, -276, -77, -17, 42]]",[],0,1,instruct1,2
11,1329.0,32465,mouselab,0,2,"[0.33999999999999997, 0.23, 0.19, 0.24]",-102,-102,[],"[[48, 200, -145, -25, 70, 223], [194, 92, 209, -3, 115, 229], [-259, -19, -102, -173, -41, 30], [-70, 156, 24, 42, 10, 228]]",[],0,2,instruct2,0
11,1400.0,35603,mouselab,0,1,"[0.21000000000000002, 0.43, 0.18, 0.18]",207,207,[],"[[-96, 62, -70, -28, 111, -27], [-5, 89, -223, -122, 207, 182], [13, 22, -69, 126, 196, 146], [-75, -2, -348, -92, 273, 254]]",[],0,4,instruct2,1
